complaint_id,issue_type,description,latitude,longitude,location_name,reported_at,resolved_at,status,repeat_count,unsafe_flag
C0088,electricity,Issue related to electricity reported near Hostel C,26.843294,80.958411,Canteen,2024-03-11,2024-01-19,open,4,1
C0089,road,Issue related to road reported near Hostel B,26.846604,80.94024,Hostel B,2024-06-23,2024-01-08,open,3,0
C0090,road,Issue related to road reported near Hostel A,26.855135,80.951056,Hostel C,2024-04-11,2024-04-08,open,1,0
C0091,light,Issue related to electricity reported near Hostel C,26.850388,80.954813,Academic Block,2024-02-22,2024-03-25,resolved,7,1
C0092,road,Issue related to electricity reported near Library,26.844098,80.9497,Hostel A,2024-04-15,,resolved,5,0
C0093,light,Issue related to road reported near Hostel B,26.857557,80.941708,Hostel A,2024-05-21,2024-01-26,open,7,1
C0094,garbage,Issue related to light reported near Hostel C,26.857592,80.959449,Hostel B,2024-05-22,2024-06-19,resolved,1,0
C0095,hygiene,Issue related to light reported near Library,26.857412,80.95036,Hostel B,2024-05-03,2024-07-16,resolved,8,1
C0096,hygiene,Issue related to road reported near Hostel A,26.844776,80.952284,Hostel B,2024-02-15,2024-04-30,open,3,0
C0097,hygiene,Issue related to road reported near Hostel C,26.849025,80.944732,Hostel C,2024-04-04,,open,7,1
C0098,road,Issue related to hygiene reported near Hostel A,26.8597,80.94967,Academic Block,2024-05-23,2024-05-06,resolved,3,0
C0099,garbage,Issue related to garbage reported near Hostel C,26.85544,80.948583,Hostel A,2024-05-22,2024-05-19,open,3,1
C0100,road,Issue related to leakage reported near Hostel B,26.840543,80.941498,Canteen,2024-05-03,,open,9,0
C0101,road,Issue related to garbage reported near Hostel B,26.841304,80.942123,Library,2024-03-05,2024-05-20,resolved,2,0
C0102,garbage,Issue related to road reported near Hostel A,26.849279,80.956749,Hostel C,2024-03-19,,resolved,4,0
C0103,garbage,Issue related to garbage reported near Canteen,26.858184,80.944796,Hostel A,2024-05-27,2024-04-21,open,6,1
C0104,garbage,Issue related to hygiene reported near Hostel A,26.850774,80.943899,Academic Block,2024-03-29,2024-02-01,resolved,3,1
C0105,garbage,Issue related to road reported near Hostel B,26.849956,80.950098,Hostel C,2024-06-29,,open,7,1
C0106,hygiene,Issue related to light reported near Canteen,26.842109,80.955375,Canteen,2024-04-11,,open,7,0
C0107,leakage,Issue related to hygiene reported near Library,26.853136,80.941239,Hostel A,2024-02-05,,resolved,5,1
C0108,leakage,Issue related to light reported near Hostel C,26.856442,80.951536,Hostel C,2024-06-17,2024-01-10,resolved,3,0
C0109,garbage,Issue related to road reported near Library,26.847608,80.942384,Hostel A,2024-01-31,,open,2,0
C0110,leakage,Issue related to hygiene reported near Hostel B,26.855512,80.940729,Hostel A,2024-02-28,2024-07-19,open,4,0
C0111,leakage,Issue related to road reported near Canteen,26.85929,80.941055,Academic Block,2024-04-24,,open,4,1
C0112,garbage,Issue related to electricity reported near Hostel B,26.844075,80.956683,Library,2024-06-28,2024-05-06,resolved,8,0
C0113,leakage,Issue related to electricity reported near Hostel C,26.850467,80.942359,Academic Block,2024-02-11,2024-03-21,open,8,1
C0114,road,Issue related to hygiene reported near Canteen,26.845743,80.940903,Hostel A,2024-01-26,2024-05-05,resolved,5,1
C0115,light,Issue related to electricity reported near Hostel C,26.855857,80.948758,Hostel C,2024-02-24,2024-05-26,open,6,0
C0116,light,Issue related to hygiene reported near Library,26.851552,80.95688,Canteen,2024-05-10,2024-06-18,resolved,8,1
C0117,garbage,Issue related to hygiene reported near Hostel A,26.852692,80.945248,Academic Block,2024-04-12,2024-05-19,open,1,0
C0118,hygiene,Issue related to light reported near Hostel B,26.855958,80.948434,Library,2024-03-27,2024-05-02,resolved,5,0
C0119,garbage,Issue related to garbage reported near Hostel C,26.847919,80.940798,Hostel A,2024-05-20,2024-02-11,open,4,1
C0120,hygiene,Issue related to garbage reported near Library,26.858302,80.948982,Canteen,2024-06-06,2024-04-11,open,4,0
C0121,light,Issue related to road reported near Hostel B,26.850661,80.951552,Academic Block,2024-06-27,,open,2,0
C0122,garbage,Issue related to road reported near Hostel B,26.843159,80.951418,Academic Block,2024-06-24,2024-04-07,open,1,0
C0123,electricity,Issue related to garbage reported near Hostel A,26.853918,80.946649,Academic Block,2024-06-29,2024-04-01,resolved,6,1
C0124,road,Issue related to electricity reported near Canteen,26.855865,80.946311,Academic Block,2024-01-14,2024-03-14,resolved,7,1
C0125,leakage,Issue related to garbage reported near Hostel B,26.846335,80.942132,Canteen,2024-02-11,,resolved,5,1
C0126,hygiene,Issue related to garbage reported near Hostel A,26.857144,80.947336,Hostel C,2024-04-09,,resolved,8,0
C0127,electricity,Issue related to leakage reported near Hostel A,26.858123,80.94199,Library,2024-06-11,,resolved,9,0
C0128,leakage,Issue related to road reported near Hostel B,26.845538,80.955332,Library,2024-01-02,2024-03-31,open,2,1
C0129,leakage,Issue related to leakage reported near Canteen,26.85967,80.959325,Hostel A,2024-01-24,2024-05-30,resolved,4,1
C0130,garbage,Issue related to hygiene reported near Hostel B,26.842814,80.959401,Hostel B,2024-02-07,,resolved,9,1
C0131,leakage,Issue related to road reported near Hostel B,26.84404,80.957301,Hostel C,2024-04-30,2024-03-29,resolved,5,1
C0132,road,Issue related to electricity reported near Library,26.843684,80.952016,Hostel A,2024-06-02,,resolved,3,1
C0133,electricity,Issue related to road reported near Academic Block,26.85788,80.954017,Hostel A,2024-04-21,2024-04-02,open,6,0
C0134,leakage,Issue related to light reported near Academic Block,26.853086,80.945704,Academic Block,2024-01-23,2024-01-16,open,3,1
C0135,garbage,Issue related to hygiene reported near Hostel B,26.843042,80.952615,Hostel B,2024-01-17,2024-03-05,open,5,0
C0136,road,Issue related to garbage reported near Hostel A,26.848806,80.949113,Hostel B,2024-03-08,,open,3,0
C0137,light,Issue related to electricity reported near Academic Block,26.852306,80.94964,Hostel C,2024-02-26,,resolved,6,0
C0138,electricity,Issue related to leakage reported near Academic Block,26.841669,80.955156,Hostel B,2024-04-04,,resolved,5,0
C0139,leakage,Issue related to hygiene reported near Academic Block,26.857648,80.945638,Hostel A,2024-01-21,2024-03-20,open,9,1
C0140,garbage,Issue related to electricity reported near Hostel A,26.856072,80.946361,Hostel B,2024-06-04,,open,3,0
C0141,light,Issue related to electricity reported near Canteen,26.850104,80.958493,Hostel B,2024-01-10,,resolved,6,1
C0142,light,Issue related to electricity reported near Hostel A,26.859343,80.941124,Library,2024-04-08,2024-01-11,resolved,8,0
C0143,hygiene,Issue related to garbage reported near Academic Block,26.848355,80.949713,Hostel A,2024-04-12,2024-04-19,open,7,1
C0144,road,Issue related to electricity reported near Hostel C,26.859682,80.958256,Canteen,2024-06-06,2024-04-18,open,6,1
C0145,leakage,Issue related to garbage reported near Hostel B,26.853358,80.952207,Hostel B,2024-06-16,,open,2,0
C0146,garbage,Issue related to light reported near Hostel B,26.852693,80.950928,Hostel B,2024-05-13,2024-05-31,open,7,1
C0147,hygiene,Issue related to road reported near Academic Block,26.843319,80.944995,Academic Block,2024-03-14,,resolved,8,0
C0148,road,Issue related to light reported near Academic Block,26.857639,80.946866,Hostel B,2024-06-01,,resolved,1,1
C0149,hygiene,Issue related to light reported near Hostel C,26.84855,80.957041,Hostel B,2024-01-15,2024-03-24,resolved,9,0
C0150,electricity,Issue related to hygiene reported near Hostel B,26.843245,80.951184,Library,2024-02-14,2024-05-06,open,4,0
C0151,road,Issue related to garbage reported near Academic Block,26.840252,80.950295,Hostel A,2024-06-12,,resolved,8,1
C0152,road,Issue related to road reported near Hostel A,26.851195,80.941992,Hostel C,2024-05-06,2024-03-28,resolved,7,1
C0153,leakage,Issue related to garbage reported near Canteen,26.850548,80.940321,Hostel A,2024-04-22,2024-07-15,open,7,0
C0154,road,Issue related to road reported near Hostel A,26.854387,80.959274,Academic Block,2024-01-03,2024-02-13,open,2,0
C0155,hygiene,Issue related to garbage reported near Hostel B,26.857805,80.94754,Hostel A,2024-02-21,2024-04-04,open,1,1
C0156,road,Issue related to light reported near Academic Block,26.841588,80.952064,Hostel B,2024-06-17,2024-02-22,open,4,0
C0157,leakage,Issue related to hygiene reported near Academic Block,26.85463,80.941594,Academic Block,2024-05-12,2024-01-21,open,2,0
C0158,leakage,Issue related to light reported near Academic Block,26.843748,80.953662,Hostel A,2024-03-14,2024-05-18,open,8,0
C0159,electricity,Issue related to garbage reported near Hostel B,26.857164,80.958651,Academic Block,2024-02-19,,resolved,7,1
C0160,hygiene,Issue related to hygiene reported near Hostel A,26.856381,80.951513,Hostel C,2024-01-09,,resolved,8,0
C0161,light,Issue related to hygiene reported near Hostel C,26.850816,80.942522,Hostel A,2024-06-02,,resolved,6,0
C0162,light,Issue related to hygiene reported near Hostel C,26.854205,80.951634,Canteen,2024-05-10,2024-02-28,resolved,1,1
C0163,road,Issue related to hygiene reported near Canteen,26.846287,80.955327,Hostel B,2024-05-12,2024-01-25,resolved,9,0
C0164,electricity,Issue related to electricity reported near Library,26.849423,80.948128,Academic Block,2024-06-27,2024-05-29,resolved,6,0
C0165,garbage,Issue related to electricity reported near Canteen,26.856433,80.957597,Canteen,2024-02-29,,open,1,0
C0166,road,Issue related to hygiene reported near Hostel B,26.849185,80.952974,Canteen,2024-06-06,,open,1,0
C0167,electricity,Issue related to light reported near Hostel C,26.847156,80.957985,Library,2024-02-13,,open,8,1
C0168,hygiene,Issue related to light reported near Hostel A,26.849884,80.95247,Academic Block,2024-06-21,2024-05-02,resolved,6,0
C0169,hygiene,Issue related to road reported near Canteen,26.856565,80.942626,Canteen,2024-01-10,2024-03-30,resolved,8,0
C0170,hygiene,Issue related to road reported near Hostel A,26.846704,80.946194,Library,2024-04-02,2024-06-16,open,8,0
C0171,hygiene,Issue related to electricity reported near Hostel C,26.843475,80.944036,Canteen,2024-03-02,2024-05-10,open,8,0
C0172,hygiene,Issue related to garbage reported near Hostel A,26.85424,80.958177,Hostel B,2024-06-16,2024-04-21,open,7,0
C0173,electricity,Issue related to road reported near Academic Block,26.85652,80.955208,Hostel C,2024-01-01,2024-03-22,open,7,1
C0174,electricity,Issue related to road reported near Library,26.842013,80.953528,Library,2024-02-10,,open,4,1
C0175,leakage,Issue related to light reported near Hostel A,26.844797,80.946019,Hostel C,2024-01-23,2024-06-09,resolved,9,0
C0176,light,Issue related to road reported near Hostel A,26.842839,80.943681,Academic Block,2024-03-11,2024-06-21,resolved,2,0
C0177,hygiene,Issue related to light reported near Hostel A,26.846959,80.955129,Hostel B,2024-04-12,2024-02-17,resolved,9,1
C0178,garbage,Issue related to road reported near Hostel A,26.849007,80.949483,Library,2024-03-31,2024-06-10,open,3,1
C0179,electricity,Issue related to electricity reported near Hostel B,26.854977,80.944516,Academic Block,2024-06-20,2024-02-18,resolved,2,1
C0180,garbage,Issue related to hygiene reported near Hostel A,26.853023,80.952332,Canteen,2024-04-11,2024-02-25,open,4,0
C0181,garbage,Issue related to road reported near Hostel B,26.852419,80.940807,Hostel A,2024-04-13,2024-07-10,resolved,5,0
C0182,garbage,Issue related to road reported near Library,26.847047,80.946523,Academic Block,2024-05-30,2024-03-10,open,2,0
C0183,leakage,Issue related to garbage reported near Library,26.856829,80.949371,Hostel C,2024-02-21,2024-05-17,open,1,0
C0184,electricity,Issue related to garbage reported near Academic Block,26.849426,80.942959,Hostel B,2024-05-12,2024-07-16,resolved,5,0
C0185,garbage,Issue related to electricity reported near Library,26.859582,80.959693,Hostel B,2024-01-04,2024-05-25,resolved,9,0
C0186,hygiene,Issue related to road reported near Library,26.852683,80.944182,Academic Block,2024-06-29,2024-01-17,resolved,5,1
C0187,road,Issue related to leakage reported near Hostel C,26.842525,80.942607,Canteen,2024-01-18,2024-04-04,resolved,9,1
C0188,garbage,Issue related to light reported near Canteen,26.853524,80.944071,Hostel A,2024-01-24,2024-03-03,resolved,6,0
C0189,leakage,Issue related to electricity reported near Hostel C,26.846502,80.955381,Hostel C,2024-05-20,,open,3,0
C0190,electricity,Issue related to light reported near Hostel C,26.853727,80.94851,Academic Block,2024-03-13,2024-03-18,resolved,4,0
C0191,leakage,Issue related to hygiene reported near Hostel B,26.841393,80.951308,Academic Block,2024-05-23,2024-04-16,resolved,4,1
C0192,garbage,Issue related to electricity reported near Canteen,26.843498,80.94042,Hostel B,2024-05-29,,open,1,1
C0193,electricity,Issue related to leakage reported near Academic Block,26.857115,80.940689,Hostel C,2024-03-30,2024-01-18,resolved,3,1
C0194,road,Issue related to leakage reported near Hostel A,26.844544,80.948917,Hostel A,2024-03-29,2024-04-16,open,3,1
C0195,garbage,Issue related to garbage reported near Academic Block,26.856741,80.956333,Hostel B,2024-03-11,,resolved,1,0
C0196,leakage,Issue related to road reported near Library,26.845586,80.957705,Academic Block,2024-02-27,,resolved,9,1
C0197,light,Issue related to garbage reported near Hostel A,26.852858,80.941734,Hostel B,2024-06-04,,open,1,1
C0198,hygiene,Issue related to road reported near Hostel B,26.853883,80.950767,Hostel B,2024-02-19,2024-03-02,resolved,9,0
C0199,leakage,Issue related to road reported near Hostel C,26.850253,80.958265,Library,2024-04-26,2024-01-31,resolved,1,0
C0200,electricity,Issue related to light reported near Hostel C,26.846106,80.947759,Hostel B,2024-04-13,,resolved,2,0
C0201,garbage,Issue related to garbage reported near Hostel B,26.844253,80.956591,Canteen,2024-05-27,,resolved,2,1
C0202,hygiene,Issue related to leakage reported near Hostel C,26.840664,80.942674,Hostel B,2024-01-02,2024-03-21,open,6,0
C0203,garbage,Issue related to light reported near Academic Block,26.846079,80.958708,Canteen,2024-03-07,2024-05-24,open,7,1
C0204,electricity,Issue related to road reported near Canteen,26.853063,80.955028,Hostel C,2024-02-14,2024-04-19,resolved,1,1
C0205,garbage,Issue related to leakage reported near Library,26.858766,80.958827,Hostel B,2024-04-14,2024-01-11,resolved,3,1
C0206,light,Issue related to electricity reported near Library,26.857424,80.953532,Hostel A,2024-05-09,,open,2,1
C0207,hygiene,Issue related to garbage reported near Canteen,26.855321,80.947268,Canteen,2024-01-28,,open,8,0
C0208,hygiene,Issue related to road reported near Hostel C,26.855769,80.958764,Canteen,2024-05-23,,resolved,9,0
C0209,electricity,Issue related to electricity reported near Hostel A,26.8533,80.945511,Academic Block,2024-01-19,2024-03-13,open,2,1
C0210,light,Issue related to light reported near Hostel C,26.845206,80.946643,Hostel C,2024-05-08,2024-02-16,open,2,0
C0211,leakage,Issue related to garbage reported near Hostel A,26.858144,80.954016,Hostel B,2024-03-16,2024-01-12,open,9,1
C0212,garbage,Issue related to electricity reported near Library,26.853415,80.955306,Hostel A,2024-03-28,2024-05-05,open,4,1
C0213,road,Issue related to light reported near Hostel C,26.851209,80.958588,Academic Block,2024-01-30,2024-01-16,resolved,5,0
C0214,garbage,Issue related to leakage reported near Library,26.84222,80.944096,Hostel C,2024-05-11,2024-01-23,open,9,0
C0215,garbage,Issue related to light reported near Canteen,26.848941,80.95596,Canteen,2024-03-06,,resolved,6,1
C0216,leakage,Issue related to leakage reported near Hostel B,26.849207,80.954771,Hostel A,2024-05-17,,resolved,9,0
C0217,garbage,Issue related to electricity reported near Canteen,26.857291,80.941276,Hostel B,2024-05-27,,open,9,1
C0218,light,Issue related to leakage reported near Library,26.850933,80.947744,Library,2024-03-05,2024-04-04,resolved,7,0
C0219,light,Issue related to hygiene reported near Hostel C,26.847608,80.945655,Library,2024-06-26,2024-01-25,resolved,9,1
C0220,hygiene,Issue related to garbage reported near Hostel A,26.859536,80.94609,Hostel C,2024-04-23,,open,5,1
C0221,electricity,Issue related to electricity reported near Academic Block,26.842214,80.959659,Hostel A,2024-04-06,2024-02-06,open,5,0
C0222,road,Issue related to leakage reported near Hostel A,26.848451,80.952856,Academic Block,2024-05-24,,open,8,0
C0223,garbage,Issue related to garbage reported near Hostel C,26.84084,80.954354,Hostel A,2024-05-03,2024-05-09,resolved,4,1
C0224,garbage,Issue related to light reported near Canteen,26.854798,80.959532,Canteen,2024-03-03,2024-05-14,resolved,9,0
C0225,leakage,Issue related to leakage reported near Hostel B,26.858362,80.947544,Library,2024-03-27,2024-05-29,resolved,7,0
C0226,electricity,Issue related to electricity reported near Academic Block,26.845601,80.956037,Hostel C,2024-04-27,2024-05-15,resolved,7,1
C0227,light,Issue related to road reported near Canteen,26.857167,80.948691,Hostel B,2024-06-23,,open,3,1
C0228,road,Issue related to hygiene reported near Library,26.845844,80.957391,Hostel A,2024-04-27,2024-03-02,resolved,4,0
C0229,hygiene,Issue related to garbage reported near Hostel A,26.858215,80.943613,Library,2024-05-30,2024-07-17,open,7,0
C0230,light,Issue related to garbage reported near Canteen,26.855079,80.958954,Academic Block,2024-01-08,2024-03-26,open,5,1
C0231,electricity,Issue related to light reported near Library,26.856098,80.944375,Hostel C,2024-05-03,2024-07-08,open,3,1
C0232,hygiene,Issue related to garbage reported near Hostel C,26.84036,80.946524,Hostel B,2024-01-30,,open,1,1
C0233,leakage,Issue related to road reported near Library,26.859256,80.955124,Hostel A,2024-03-07,2024-03-02,resolved,7,1
C0234,leakage,Issue related to light reported near Academic Block,26.854533,80.947875,Academic Block,2024-01-18,2024-02-26,open,6,1
C0235,garbage,Issue related to light reported near Hostel A,26.846095,80.952164,Hostel B,2024-04-07,,resolved,7,1
C0236,electricity,Issue related to leakage reported near Hostel C,26.856588,80.948891,Canteen,2024-06-11,,open,2,1
C0237,road,Issue related to garbage reported near Hostel C,26.84563,80.954847,Library,2024-02-26,2024-04-23,open,4,1
C0238,hygiene,Issue related to light reported near Canteen,26.857455,80.944567,Canteen,2024-06-22,2024-05-31,open,2,0
C0239,light,Issue related to light reported near Canteen,26.842252,80.941169,Library,2024-06-28,,resolved,8,0
C0240,electricity,Issue related to garbage reported near Hostel C,26.854074,80.945999,Academic Block,2024-02-28,2024-06-29,open,7,0
